Variant;Colour;;;;;
B.1;#A6CEE3;;;;;
P.1;#B2DF8A;;;;;
P.2;#33A02C;;;;;
B.1.177;#FB9A99;;;;;
B.1.1.7;#F3444B;;;;;
B.1.160;#FDBF6F;;;;;
B.1.351;#FF7F00;;;;;
B.1.525;#C65911;;;;;
B.1.1.318;#1F78B4;;;;;
AZ.2;#338CC8;;;;;
B.1.617.2;#CAB2D6;;;;;
AY.1;#9053D1;;;;;
AY.2;#9053D1;;;;;
AY.3;#9053D1;;;;;
AY.4;#9053D1;;;;;
AY.5;#9053D1;;;;;
AY.6;#9053D1;;;;;
AY.7;#9053D1;;;;;
AY.8;#9053D1;;;;;
AY.10;#9053D1;;;;;
AY.11;#9053D1;;;;;
AY.12;#9053D1;;;;;
AY.9;#6A3D9A;;;;;
B.1.1;#FFFF99;;;;;
B.1.1.153;#B15928;;;;;
C.36;#ABA200;;;;;
C.36.3;#DDD100;;;;;
Other;#999999;;;;;
B.1.258;#999999;;;;;
B.1.258.3;#999999;;;;;
None;#BBBBBB;;;;;
